,name,statenm,stateid,district,party,trumpjump,obama2012,female,utah
0,BROOKS, ALABAMA,41,5,200,0,34.90000153,0,0
1,BYRNE, ALABAMA,41,1,200,1,37.40000153,0,0
2,ROGERS, ALABAMA,41,3,200,0,36.79999924,0,0
3,PALMER, ALABAMA,41,6,200,0,24.70000076,0,0
4,ROBY, ALABAMA,41,2,200,1,36.40000153,1,0
5,ADERHOLT, ALABAMA,41,4,200,0,24,0,0
6,YOUNG, ALASKA ,81,1,200,0,41.20000076,0,0
7,GOSAR, ARIZONA,61,4,200,0,31,0,0
8,MCSALLY, ARIZONA,61,2,200,0,48.40000153,1,0
9,SALMON, ARIZONA,61,5,200,0,34.59999847,0,0
10,SCHWEIKERT, ARIZONA,61,6,200,0,38.79999924,0,0
11,FRANKS, ARIZONA,61,8,200,0,36.90000153,0,0
12,HILL, ARKANSA,42,2,200,0,42.90000153,0,0
13,WESTERMAN, ARKANSA,42,4,200,0,35.90000153,0,0
14,WOMACK, ARKANSA,42,3,200,0,31.60000038,0,0
15,CRAWFORD, ARKANSA,42,1,200,0,36.29999924,0,0
16,VALADAO, CALIFOR,71,21,200,0,54.59999847,0,0
17,COOK, CALIFOR,71,8,200,0,41.70000076,0,0
18,WALTERS, CALIFOR,71,45,200,0,43,1,0
19,DENHAM, CALIFOR,71,10,200,0,50.59999847,0,0
20,ROYCE, CALIFOR,71,39,200,0,47.09999847,0,0
21,CALVERT, CALIFOR,71,42,200,0,41.40000153,0,0
22,MCCARTHY, CALIFOR,71,23,200,0,36.09999847,0,0
23,NUNES, CALIFOR,71,22,200,0,41.59999847,0,0
24,ROHRABAC, CALIFOR,71,48,200,0,43,0,0
25,HUNTER, CALIFOR,71,50,200,0,37.59999847,0,0
26,MCCLINTOCK, CALIFOR,71,4,200,0,39.5,0,0
27,KNIGHT, CALIFOR,71,25,200,1,47.79999924,0,0
28,ISSA, CALIFOR,71,49,200,0,45.70000076,0,0
29,LAMALFA, CALIFOR,71,1,200,0,40.29999924,0,0
30,COFFMAN, COLORAD,62,6,200,1,51.59999847,0,0
31,BUCK, COLORAD,62,4,200,0,39.20000076,0,0
32,TIPTON, COLORAD,62,3,200,0,45.79999924,0,0
33,LAMBORN, COLORAD,62,5,200,0,38.29999924,0,0
34,BILIRAKI, FLORIDA,43,12,200,0,44.79999924,0,0
35,WEBSTER, FLORIDA,43,10,200,0,45.70000076,0,0
36,CLAWSON, FLORIDA,43,19,200,0,38.79999924,0,0
37,ROS-LEHT, FLORIDA,43,27,200,1,53.09999847,1,0
38,CURBELO, FLORIDA,43,26,200,1,53.09999847,0,0
39,MICA, FLORIDA,43,7,200,0,47.09999847,0,0
